,model,split,auc,pr,accuracy,precision,recall,specificity,f1-score,target,window
0,lab,train,0.75,0.75,0.8666666666666667,1.0,0.3333333333333333,1.0,0.5,aleak,0h
1,lab,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,0h
2,vitals,train,0.9444444444444444,0.8666666666666667,0.8,0.5,0.6666666666666666,0.8333333333333334,0.5714285714285715,aleak,0h
3,vitals,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,aleak,0h
4,img,train,0.611111111111111,0.2685185185185185,0.4666666666666667,0.2222222222222222,0.6666666666666666,0.4166666666666667,0.3333333333333333,aleak,0h
5,img,test,0.125,0.2,0.8,0.0,0.0,1.0,0.0,aleak,0h
6,static,train,0.45833333333333337,0.20555555555555557,0.3333333333333333,0.18181818181818182,0.6666666666666666,0.25,0.28571428571428575,aleak,0h
7,static,test,0.625,0.25,0.8,0.0,0.0,1.0,0.0,aleak,0h
8,late,train,0.7777777777777778,0.7575757575757576,0.8666666666666667,1.0,0.3333333333333333,1.0,0.5,aleak,0h
9,late,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,0h
10,ft_late,train,0.9166666666666666,0.8333333333333333,0.7333333333333333,0.4,0.6666666666666666,0.75,0.5,aleak,0h
11,ft_late,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,0h
12,mid,train,0.9166666666666667,0.6,0.8,0.0,0.0,1.0,0.0,aleak,0h
13,mid,test,0.75,0.3333333333333333,0.8,0.0,0.0,1.0,0.0,aleak,0h
14,ft_mid,train,0.9722222222222222,0.9166666666666665,0.8666666666666667,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6666666666666666,aleak,0h
15,ft_mid,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,aleak,0h
16,lab,train,0.7500000000000001,0.3873015873015873,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4444444444444444,aleak,0h
17,lab,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,aleak,0h
18,vitals,train,0.8055555555555555,0.625,0.6,0.2857142857142857,0.6666666666666666,0.5833333333333334,0.4,aleak,0h
19,vitals,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,0h
20,img,train,0.5277777777777777,0.24523809523809526,0.5333333333333333,0.16666666666666666,0.3333333333333333,0.5833333333333334,0.2222222222222222,aleak,0h
21,img,test,0.5,0.25,0.6,0.0,0.0,0.75,0.0,aleak,0h
22,static,train,0.3055555555555555,0.18716931216931215,0.2,0.15384615384615385,0.6666666666666666,0.08333333333333333,0.25,aleak,0h
23,static,test,0.5,0.3333333333333333,0.4,0.0,0.0,0.5,0.0,aleak,0h
24,late,train,0.7222222222222223,0.3595238095238095,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4444444444444444,aleak,0h
25,late,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,aleak,0h
26,ft_late,train,0.8333333333333333,0.6805555555555556,0.8,0.5,0.3333333333333333,0.9166666666666666,0.4,aleak,0h
27,ft_late,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,aleak,0h
28,mid,train,1.0,1.0,0.9333333333333333,1.0,0.6666666666666666,1.0,0.8,aleak,0h
29,mid,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,aleak,0h
30,ft_mid,train,0.5,0.2,0.8,0.0,0.0,1.0,0.0,aleak,0h
31,ft_mid,test,0.5,0.2,0.8,0.0,0.0,1.0,0.0,aleak,0h
32,lab,train,0.75,0.38333333333333336,0.7333333333333333,0.4,0.6666666666666666,0.75,0.5,aleak,0h
33,lab,test,0.25,0.25,0.2,0.0,0.0,0.25,0.0,aleak,0h
34,vitals,train,0.9166666666666666,0.8333333333333333,0.7333333333333333,0.4,0.6666666666666666,0.75,0.5,aleak,0h
35,vitals,test,0.0,0.2,0.8,0.0,0.0,1.0,0.0,aleak,0h
36,img,train,0.4722222222222222,0.2383838383838384,0.8,0.0,0.0,1.0,0.0,aleak,0h
37,img,test,0.5,0.3333333333333333,0.4,0.0,0.0,0.5,0.0,aleak,0h
38,static,train,0.5,0.2,0.8,0.0,0.0,1.0,0.0,aleak,0h
39,static,test,0.5,0.2,0.8,0.0,0.0,1.0,0.0,aleak,0h
40,late,train,0.9166666666666666,0.8333333333333333,0.7333333333333333,0.4,0.6666666666666666,0.75,0.5,aleak,0h
41,late,test,0.0,0.2,0.8,0.0,0.0,1.0,0.0,aleak,0h
42,ft_late,train,0.9722222222222222,0.9166666666666665,0.8666666666666667,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6666666666666666,aleak,0h
43,ft_late,test,0.0,0.2,0.8,0.0,0.0,1.0,0.0,aleak,0h
44,mid,train,0.5,0.2,0.8,0.0,0.0,1.0,0.0,aleak,0h
45,mid,test,0.5,0.2,0.8,0.0,0.0,1.0,0.0,aleak,0h
46,ft_mid,train,0.7916666666666666,0.7333333333333334,0.8666666666666667,1.0,0.3333333333333333,1.0,0.5,aleak,0h
47,ft_mid,test,0.25,0.2,0.8,0.0,0.0,1.0,0.0,aleak,0h
48,lab,train,0.9722222222222222,0.9166666666666665,0.8666666666666667,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6666666666666666,aleak,0h
49,lab,test,0.25,0.25,0.2,0.0,0.0,0.25,0.0,aleak,0h
50,vitals,train,0.9166666666666666,0.8333333333333333,0.7333333333333333,0.4,0.6666666666666666,0.75,0.5,aleak,0h
51,vitals,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,0h
52,img,train,0.5972222222222222,0.23333333333333334,0.5333333333333333,0.25,0.6666666666666666,0.5,0.36363636363636365,aleak,0h
53,img,test,0.125,0.2,0.8,0.0,0.0,1.0,0.0,aleak,0h
54,static,train,0.4583333333333333,0.2,0.8,0.0,0.0,1.0,0.0,aleak,0h
55,static,test,0.5,0.2,0.8,0.0,0.0,1.0,0.0,aleak,0h
56,late,train,1.0,1.0,0.9333333333333333,1.0,0.6666666666666666,1.0,0.8,aleak,0h
57,late,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,aleak,0h
58,ft_late,train,1.0,1.0,0.9333333333333333,1.0,0.6666666666666666,1.0,0.8,aleak,0h
59,ft_late,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,0h
60,mid,train,0.875,0.5,0.8,0.0,0.0,1.0,0.0,aleak,0h
